b'Date,Open,High,Low,Close,Volume,Adj Close
2016-11-18,2482.139893,2495.469971,2470.610107,2480.75,6299400,2480.75
2016-11-17,2497.570068,2497.570068,2468.870117,2481.820068,6765700,2481.820068
2016-11-16,2513.389893,2521.290039,2494.399902,2497.409912,7426900,2497.409912
2016-11-15,2492.540039,2514.899902,2492.310059,2512.879883,7630000,2512.879883
2016-11-14,2485.870117,2508.370117,2480.939941,2492.780029,7773100,2492.780029
2016-11-11,2501.340088,2507.280029,2479.25,2485.50,6853200,2485.50
2016-11-10,2486.540039,2526.100098,2486.090088,2501.389893,12336300,2501.389893
2016-11-09,2456.560059,2488.590088,2362.149902,2486.52002,9715700,2486.52002
2016-11-08,2432.26001,2458.100098,2430.280029,2457.449951,5132300,2457.449951
2016-11-07,2413.159912,2442.550049,2413.159912,2432.030029,5851900,2432.030029
2016-11-04,2469.290039,2471.100098,2404.47998,2412.850098,7201200,2412.850098
2016-11-03,2429.050049,2473.090088,2428.570068,2469.199951,7678500,2469.199951
2016-11-02,2473.100098,2473.100098,2428.280029,2429.00,7419900,2429.00
2016-10-31,2506.76001,2506.820068,2472.47998,2473.75,6085000,2473.75
2016-10-28,2507.219971,2507.219971,2477.659912,2506.550049,6364800,2506.550049
2016-10-27,2508.22998,2511.679932,2487.110107,2507.350098,7297900,2507.350098
2016-10-25,2495.379883,2510.97998,2493.570068,2508.370117,5812900,2508.370117
2016-10-24,2464.290039,2499.129883,2464.290039,2495.25,6987400,2495.25
2016-10-21,2466.090088,2472.909912,2456.629883,2463.959961,5768600,2463.959961
'
